"Key","Description",Typical Value
"**network**",**Section to define all Network related parameters**,
"""server_domain_name""","Server domain name","""vst-service"""
"""stunurl_list""","STUN server address","[""stun.l.google.com:19302""]"
"""static_turnurl_list""","TURN server address",[]
"""coturn_turnurl_list_with_secret""","Coturn Turnurl list with secret",[]
"""use_coturn_auth_secret""","Enable/Disable Coturn Auth secret",FALSE
"""use_twilio_stun_turn""","Enable/Disable Twilio",FALSE
"""twilio_account_sid""","Twilio Account Sid","`""""`"
"""rx_socket_buffer_size""",RX socket buffer size,1000000
"""tx_socket_buffer_size""",TX socket buffer size,1000000
"""twilio_auth_token""","Auth token for Twilio","`""""`"
"""ntp_servers""","NTP server address","[""time.google.com""]"
"""use_sensor_ntp_time""","If true then forward camera/nvstreamer ntp time in SR reports to the clients. Otherwise provide current ntp time in SR report.",TRUE
"""max_webrtc_out_connections""","Max number of webrtc output connections at a given time",8
"""max_webrtc_in_connections""","Max number of webrtc input connections at a given time",8
"""webservice_access_control_list""","An Access Control List allows restrictions to be put on the list of IP addresses which have access to the web server. The ACL is a comma separated list of IP subnets, where each subnet is pre-pended by either a - or a + sign. A plus sign means allow, where a minus sign means deny. If a subnet mask is omitted, such as -1.2.3.4, this means to deny only that single IP address.","""+10.42.0.0/32"""
"""use_reverse_proxy""","Enable/Disable reverse proxy",FALSE
"""reverse_proxy_server_address""","Reverse proxy server address","""REVERSE_PROXY_SERVER_ADDRESS:100"""
"""rtsp_server_port""","User given rtsp port number",8554
"""rtsp_server_instances_count""","Number of RTSP server instances",8
"""rtsp_server_use_socket_poll""","Enable/Disable socket poll for RTSP server",TRUE
"""rtsp_preferred_network_iface""","Preferred network interface for RTSP streaming","""eth1"""
"""rtcp_rtp_port_multiplex""","Enable RTCP/RTP port multiplexing",TRUE
"""rtsp_streaming_over_tcp""","Enable / Disable RTSP Streaming over TCP ",FALSE
"""rtsp_server_reclamation_client_timeout_sec""","Timeout for RTSP Server reclamation client",10
"""stream_monitor_interval_secs""","Stream Monitor interval in seconds",2
